condition,maximum_budget,target_coverage,row_count,mean_acquisition_cost,source_bit_macro_f1,source_bit_micro_f1,six_way_macro_f1,coverage,average_set_size,pareto_nondominated
scalar_confidence,7,0.9,2400,0.0,0.5269192708991529,0.5056662758890191,0.21433429904104986,0.8666666666666667,3.8029166666666665,False
scalar_confidence,7,0.95,2400,0.0,0.5269192708991529,0.5056662758890191,0.21433429904104986,0.9391666666666667,5.317083333333334,False
uncertainty_greedy,1,0.9,2400,1.0,0.6772833032432163,0.6971608832807571,0.3868392522341584,0.9704166666666667,3.984166666666667,False
uncertainty_greedy,1,0.95,2400,1.0,0.6772833032432163,0.6971608832807571,0.3868392522341584,0.995,4.3,False
uncertainty_greedy,2,0.9,2400,1.99375,0.8195937982693037,0.8295884877556172,0.5149573367329132,0.9729166666666667,3.71375,False
uncertainty_greedy,2,0.95,2400,1.99375,0.8195937982693037,0.8295884877556172,0.5149573367329132,0.99875,5.144166666666667,False
uncertainty_greedy,3,0.9,2400,2.9570833333333333,0.9148340381577801,0.9168316831683169,0.6537223092461116,0.98,3.497916666666667,False
uncertainty_greedy,3,0.95,2400,2.9570833333333333,0.9148340381577801,0.9168316831683169,0.6537223092461116,0.99875,4.884166666666666,False
uncertainty_greedy,4,0.9,2400,3.8475,0.9612168462890773,0.9604907975460123,0.7336431721141743,0.9804166666666667,4.082916666666667,False
uncertainty_greedy,4,0.95,2400,3.8475,0.9612168462890773,0.9604907975460123,0.7336431721141743,0.99875,4.65125,False
uncertainty_greedy,7,0.9,2400,4.78,0.9760840105313277,0.9763170613823103,0.7550874320922994,0.9995833333333334,4.644583333333333,True
uncertainty_greedy,7,0.95,2400,4.78,0.9760840105313277,0.9763170613823103,0.7550874320922994,0.9995833333333334,4.644583333333333,True
visual_first,1,0.9,2400,1.0,0.6640874267606941,0.6494275562574023,0.36660513555726215,0.8854166666666666,4.06125,False
visual_first,1,0.95,2400,1.0,0.6640874267606941,0.6494275562574023,0.36660513555726215,0.93,4.274583333333333,False
visual_first,2,0.9,2400,2.0,0.7068087682492666,0.6859076433121019,0.390696929867499,0.9095833333333333,3.892916666666667,False
visual_first,2,0.95,2400,2.0,0.7068087682492666,0.6859076433121019,0.390696929867499,0.9766666666666667,5.111666666666666,False
visual_first,3,0.9,2400,3.0,0.7423263568018154,0.7226013649136893,0.40646178756273393,0.92875,3.8441666666666667,False
visual_first,3,0.95,2400,3.0,0.7423263568018154,0.7226013649136893,0.40646178756273393,0.9779166666666667,4.931666666666667,False
visual_first,4,0.9,2400,4.0,0.746399106729989,0.7265453090618124,0.4086107866858784,0.9604166666666667,4.373333333333333,False
visual_first,4,0.95,2400,4.0,0.746399106729989,0.7265453090618124,0.4086107866858784,0.9808333333333333,4.8625,False
visual_first,7,0.9,2400,6.0,0.9945310972449599,0.9945146673026473,0.7697286824384438,0.99875,4.515416666666667,True
visual_first,7,0.95,2400,6.0,0.9945310972449599,0.9945146673026473,0.7697286824384438,0.99875,4.515416666666667,True
